Target Country,Target City,Theater of Operations,Total Weight (Tons),First Mission,Last Mission,Num Missions,location
GERMANY,UTERSEN,ETO,62.0,10/15/1940,10/30/1944,5,"UTERSEN, GERMANY"
GERMANY,VAIHINGEN,ETO,351.0,4/1/1945,4/1/1945,18,"VAIHINGEN, GERMANY"
GERMANY,VARAZDIN,ETO,4.0,2/23/1945,2/23/1945,1,"VARAZDIN, GERMANY"
GERMANY,VARREL,ETO,897.0,3/21/1945,9/25/1940,13,"VARREL, GERMANY"
GERMANY,VARRLBUSCH,ETO,654.0,3/24/1945,3/24/1945,6,"VARRLBUSCH, GERMANY"
GERMANY,VECHTA,ETO,2374.0,1/5/1945,9/3/1940,113,"VECHTA, GERMANY"
GERMANY,VEGESACK,ETO,1122.0,10/20/1941,9/23/1942,93,"VEGESACK, GERMANY"
GERMANY,VELLETRI,ETO,3.0,5/1/1944,5/1/1944,1,"VELLETRI, GERMANY"
GERMANY,VENNEBECK,ETO,20.0,3/19/1945,3/19/1945,2,"VENNEBECK, GERMANY"
GERMANY,VERDEN,ETO,327.0,10/27/1940,9/6/1941,32,"VERDEN, GERMANY"
GERMANY,VETTWEISS,ETO,180.0,11/30/1944,11/30/1944,3,"VETTWEISS, GERMANY"
GERMANY,VIECHAICH,ETO,264.0,4/20/1945,4/20/1945,3,"VIECHAICH, GERMANY"
GERMANY,VIENENBURG,ETO,52.0,2/22/1945,2/22/1945,2,"VIENENBURG, GERMANY"
GERMANY,VIERSEN,ETO,1703.0,2/24/1945,7/3/1941,63,"VIERSEN, GERMANY"
GERMANY,VILLINGEN,ETO,38.0,2/22/1945,2/22/1945,2,"VILLINGEN, GERMANY"
GERMANY,VLATTEN,ETO,198.0,2/24/1945,2/6/1945,9,"VLATTEN, GERMANY"
GERMANY,VLOTHO,ETO,638.0,11/2/1944,3/24/1945,23,"VLOTHO, GERMANY"
GERMANY,VOGELSANG,ETO,8.0,10/16/1941,7/30/1941,6,"VOGELSANG, GERMANY"
GERMANY,VOHWINKEL,ETO,1605.0,1/1/1945,6/24/1943,13,"VOHWINKEL, GERMANY"
GERMANY,VOLKLINGEN,ETO,53.0,5/11/1944,5/11/1944,1,"VOLKLINGEN, GERMANY"
GERMANY,VOLKMARSEN,ETO,170.0,3/19/1945,3/19/1945,6,"VOLKMARSEN, GERMANY"
GERMANY,VORSFELDE,ETO,189.0,4/8/1944,4/8/1944,3,"VORSFELDE, GERMANY"
GERMANY,VREDEN,ETO,425.0,3/21/1945,3/24/1945,20,"VREDEN, GERMANY"
GERMANY,WAHLEN,ETO,36.0,12/25/1944,12/25/1944,3,"WAHLEN, GERMANY"
GERMANY,WAHN,ETO,2.0,8/31/1940,9/1/1940,2,"WAHN, GERMANY"
GERMANY,WALDBROEL,ETO,4.0,3/18/1945,3/19/1945,4,"WALDBROEL, GERMANY"
GERMANY,WALDECK,ETO,75.0,10/12/1940,12/15/1944,4,"WALDECK, GERMANY"
GERMANY,WALDWEILER,ETO,4.0,12/27/1944,12/27/1944,2,"WALDWEILER, GERMANY"
GERMANY,WALLHAUSEN,ETO,42.0,2/22/1945,2/22/1945,1,"WALLHAUSEN, GERMANY"
GERMANY,WALPERZHEIM,ETO,24.0,1/14/1945,1/14/1945,4,"WALPERZHEIM, GERMANY"
GERMANY,WALSDORF,ETO,2.0,3/13/1945,3/13/1945,2,"WALSDORF, GERMANY"
GERMANY,WALTERHAUSEN,ETO,66.0,2/6/1945,2/6/1945,4,"WALTERHAUSEN, GERMANY"
GERMANY,WANGEROOG,ETO,2487.0,1/14/1942,9/23/1942,50,"WANGEROOG, GERMANY"
GERMANY,WANNE EICKEL,ETO,8147.0,1/16/1945,9/30/1944,68,"WANNE EICKEL, GERMANY"
GERMANY,WARBLINGEN,ETO,36.0,2/22/1945,2/22/1945,3,"WARBLINGEN, GERMANY"
GERMANY,WARIN,ETO,84.0,8/4/1944,8/4/1944,3,"WARIN, GERMANY"
GERMANY,WARNEMUNDE,ETO,1273.0,10/1/1942,9/29/1941,62,"WARNEMUNDE, GERMANY"
GERMANY,WASSERBURG,ETO,582.0,2/27/1945,9/12/1944,10,"WASSERBURG, GERMANY"
GERMANY,WAXWEILER,ETO,525.0,1/5/1945,12/23/1944,24,"WAXWEILER, GERMANY"
GERMANY,WEDAU,ETO,1.0,12/20/1940,12/20/1940,2,"WEDAU, GERMANY"
