Country,City,Total Tons,First Mission,Last Mission,Num Missions,location
FRANCE,FORET DE PARROY,64.0,9/28/1944,9/28/1944,7,"FORET DE PARROY, France"
FRANCE,FORET DE PERSEIGNE,147.0,8/6/1944,8/6/1944,3,"FORET DE PERSEIGNE, France"
FRANCE,FORET DE RAISMES,77.0,9/3/1943,9/3/1943,2,"FORET DE RAISMES, France"
FRANCE,FORET DE ROUMARE,266.0,8/11/1944,8/16/1944,13,"FORET DE ROUMARE, France"
FRANCE,FORET DE SAMOUSSY,72.0,8/27/1944,8/27/1944,3,"FORET DE SAMOUSSY, France"
FRANCE,FORET DE SENOCHES,1020.0,6/17/1944,7/28/1944,24,"FORET DE SENOCHES, France"
FRANCE,FORET DE SILLE,76.0,8/5/1944,8/5/1944,4,"FORET DE SILLE, France"
FRANCE,FORET DE ST SAENS,171.0,7/8/1944,8/2/1944,9,"FORET DE ST SAENS, France"
FRANCE,FORET DEANY,439.0,6/27/1944,6/27/1944,1,"FORET DEANY, France"
FRANCE,FORET DU CORBEAU,141.0,8/25/1944,8/25/1944,3,"FORET DU CORBEAU, France"
FRANCE,FORET DU CROC,1007.0,7/20/1944,8/9/1944,11,"FORET DU CROC, France"
FRANCE,FORETDENIEPPE HAZEBR,1179.0,8/2/1944,8/9/1944,8,"FORETDENIEPPE HAZEBR, France"
FRANCE,FORGES,60.0,7/31/1944,7/31/1944,4,"FORGES, France"
FRANCE,FORT MARDICK,528.0,4/27/1944,9/2/1943,12,"FORT MARDICK, France"
FRANCE,FORT PHILIPPE,152.0,4/20/1944,8/8/1943,7,"FORT PHILIPPE, France"
FRANCE,FORTMONT DE COUPLE,671.0,5/19/1944,5/31/1944,4,"FORTMONT DE COUPLE, France"
FRANCE,FOUGERES,477.0,6/6/1944,6/8/1944,4,"FOUGERES, France"
FRANCE,FOUILLARD,416.0,6/15/1944,6/15/1944,1,"FOUILLARD, France"
FRANCE,FOULBEC,112.0,8/17/1944,8/17/1944,2,"FOULBEC, France"
FRANCE,FOURNIVAL,693.0,8/26/1944,8/26/1944,21,"FOURNIVAL, France"
FRANCE,FRANZELLE,15.0,11/2/1940,11/2/1940,1,"FRANZELLE, France"
FRANCE,FREJUS,1188.0,8/10/1944,8/15/1944,36,"FREJUS, France"
FRANCE,FRENOUVILLE,1191.0,7/18/1944,7/18/1944,51,"FRENOUVILLE, France"
FRANCE,FRESNOY,123.0,7/8/1944,8/3/1944,6,"FRESNOY, France"
FRANCE,FREVAL,173.0,1/25/1944,2/9/1944,5,"FREVAL, France"
FRANCE,FREVENT,334.0,7/17/1944,8/8/1944,8,"FREVENT, France"
FRANCE,FROHEN,84.0,7/5/1944,7/5/1944,4,"FROHEN, France"
FRANCE,FROMENTEL,212.0,7/28/1944,8/8/1944,7,"FROMENTEL, France"
FRANCE,FRUGES BOIS DE COUP,159.0,12/31/1943,12/31/1943,3,"FRUGES BOIS DE COUP, France"
FRANCE,GAEL,318.0,6/10/1944,8/24/1940,16,"GAEL, France"
FRANCE,GALLARD,145.0,6/12/1944,6/14/1944,5,"GALLARD, France"
FRANCE,GAMACHES,30.0,7/11/1944,7/11/1944,4,"GAMACHES, France"
FRANCE,GAPENNES,119.0,7/11/1944,7/11/1944,3,"GAPENNES, France"
FRANCE,GASSICOURT,242.0,6/12/1944,7/8/1944,6,"GASSICOURT, France"
